Borough,Population_2024
Barking and Dagenham,232747
Barnet,405050
Bexley,256434
Brent,352976
Bromley,335319
Camden,216943
Croydon,409342
Ealing,385985
Enfield,327434
Greenwich,299528
Hackney,266758
Hammersmith and Fulham,188687
Haringey,263850
Harrow,270724
Havering,276274
Hillingdon,329185
Hounslow,299424
Islington,223024
Kensington and Chelsea,144518
Kingston upon Thames,172692
Lambeth,316920
Lewisham,301255
Merton,218539
Newham,374523
Redbridge,321231
Richmond upon Thames,196678
Southwark,314786
Sutton,214525
Tower Hamlets,331886
Waltham Forest,279737
Wandsworth,337655
Westminister,209996
Total,9074625
